View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
21,Octanium Corporation,,Michael Harvey,,6326 34th Ave SW Unit C,Seattle,WA,98126-3176,"CYBER SECURITY & INFORMATION ASSURANCE Octanium Corporation works with clients to resolve current and emerging cyber security challenges. We extensive years of experience in defining and formulating information security processes and procedures to help clients maintain a secure posture during and after the engagement. The company delivers creative solutions that help meet clients' budgets and tight deadlines. PROGRAM & PROJECT MANAGEMENT Octanium’s Program, Project and Process Management Group offers dedicated seasoned and trained professionals that bring their real-world experiences to the client's scenarios. The subject matter experts work with their clients, both offsite and onsite. NIST RISK MANAGEMENT FRAMEWORK (RMF) Certified expert Security Control Assessment and Validation services to achieve Authorization to Operate for any size system in accordance with NIST RMF. We help transition from DIACAP to RMF and provide security engineering to stay compliant and secure."
22,"TN Federal Consulting, LLC",,Thomas B Nichols,,41 Pine St Unit 106,Edmonds,WA,98020-4148,Consulting services to assist small emerging/small businesses pursue/capture federal government contracts in a cost effective manner while maximizing return on business development investment
23,"Grace Premier Fitness And Wellness Products, Inc.",Black Iron Strength,THOMAS  W GRACE,,3407 Ne 113th St,Vancouver,WA,98686-4348,"Leader in the fitness industry since 1992. We are a SDVOB company. Expert in Quality and Innovation. All of our products are made in the USA. Black Iron Strength® has been awarded 15 US Patents, which are more patents than all of the other freeweight equipment companies combined. Our commercial strength equipment is used by premier college and pro teams as well as fitness centers, home gyms, and personal training facilities. Black Iron Strength® manufactures the only commercial grade adjustable dumbbells on the market and has the patent on antimicrobial copper handles, which protects the user 24/7/365 from germs."
24,"Northcott, John E ",NORHTCOTT TRANSPORT ,John Northcott,,778 TWISP WINTHROP EASTSIDE RD,Winthrop,WA,98862-9777,We transport whatever needs to be transported. Available all the time. No geographic limitation. Also work as ground support.
25,"Washington, Annette",AG WASHINGTON WEB,Annette Washington,,108 Factory Ave N Ste 3D,Renton,WA,98057-5579,"Ag Washington Web is a woman-owned and veteran owned digital marketing agency. We provide a variety of online services, education, and training that help our clients brand and market their business across the Internet. A sample list of services include website design • website development • website maintenance and support services •graphic design services • display advertising • CRM setup and maintenance • email marketing • reputation marketing • marketing automation • consultation services •video marketing services • interactive video. We are an independent agency with a big statement in the services that we offer. We know that our clients depend on us to give them the online presence that gives them the exposure they need and the advantage over their competitors. We are responsive and provide our clients with a consultative approach to ensure that we are in line with their expectations so that we can provide the results that fit our clients goals and objectives."
26,"North Wind Construction Services, LLC",,BRENT BROOKS,,801 2nd Ave Ste 311,Seattle,WA,98104-1512,"North Wind Construction Services (NWCS) is a heavy civil construction firm specializing in Rapid response, disaster recovery, mine reclamation; site demolition and reconstruction; landfill waste and repository construction; floodplain, habitat, and water quality improvements; site remediation, stream restoration, and wetland construction; and recreation facility construction. NWCS is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family is managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, NWCS operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system. NWCS offers clients a low risk 8(a) business concern that is backed by a mature, financially strong parent organization and an excellent past performance history."
27,Vet Industrial Inc,,ISAAC HOLMES,,1234 CHARLESTON BEACH RD W,BREMERTON,WA,98312-4502,General Construction
28,"ELJAY OIL COMPANY, INC.",,RANDY  FOLKINS,,7815 E VALLEY WAY,SPOKANE,WA,99212-2829,"At Eljay Oil Company Inc. we're your single source distributor of Chevron Petroleum products. We have a range of high-quality Chevron lubricants for every application. Our mission has always been to provide quality products and services at very competitive prices. Eljay Oil Company Inc. offers dedicated services to cut your operating costs, minimize downtime, extend the life of your equipment, and keep your entire operation running better than ever. We look forward to the opportunity of providing all our customers with world class service. For further information please visit us at http://eljayoil.com."
29,"SRV Construction, Inc.",,Steve Verbarendse,,9884 Padilla Heights Rd,Anacortes,WA,98221-8696,"SRV Construction, Inc. performs Heavy Civil Construction, providing Complete Site Packages, or site specific needs for Earthwork, Cut/Fill, Grading, Water, Sewer, and Storm Systems."
30,"DJ&A, P.C.",,Christopher Anderson,,7710 Ne Greenwood Dr,Vancouver,WA,98662-6704,
31,"Unifire, Inc.",,Bryan Mills,,3904 E Trent Ave,Spokane,WA,99202-4425,"Whether a Fire Fight or Fire Fighting, We've Got You Covered. Unifire is a world leader in the support of our nation’s first responders. With a long history of manufacturing the best rescue equipment available, Unifire has earned a reputation for solving some of the most difficult problems when it comes to rescue and special operations, equipment needs and supporting the war fighter on mission critical scenarios.   While earning some of the government’s highest ratings for performance on many contracts, you can rest assured that you are in good hands.   By listening closely to customer needs and concerns, Unifire consistently provides top performing products and training to ensure mission success."
32,TINKER DOODLE FARM LLC,,Ezra E Fauth,,29610 N MONROE RD,DEER PARK,WA,99006-8708,"We have a large rabbitry, chickens, cattle, sheep, goats, etc. We also have a licensed contractor"
33,Allan Vogel,ZP'S TAXONOMIC SERVICES,Allan H Vogel,,2204 C ST NW,LAKEBAY,WA,98349-9634,Identify zooplankton; provide ecological analyses of results
34,Madrona Metal Works LLC,,Caressa C Persey,,18610 E State Route 3,Allyn,WA,98524-8729,"Welder Fabricator 6 years experience. Built, repaired and welded equipment for heavy duty machinery (diggers, buckets, thumbs) for a company in Maltby. Fabricated and welded for SafeBoats International. Previous experience with building safety railings, stair rails, hand grabs, guards, and structural components in buildings, rafters, etc. Non-architectural design and blueprint training to proceed with project fabrication. WABO Certified, Flux Core, 1/8' to Unlimited."
35,JAG Corporation,,Joseph A Gobin,,9 Cedar Loop Rd,Tulalip,WA,98271-7082,"excavating, utilities, road grades, asphalt, crack sealing, demolition, pothole repair, concrete curbs and gutters, hauling, earthwork, water/sewer installation, site preparation, wetland restoration, underground utilities, culvert replacement, erosion and sediment control, traffic control, complete illumination systems, light pole replacement, permanent sign replacement, brush cutting, and forest roads, noise barrier wall artwork. For more information you can reach us at 360-652-5335."
36,"SOLOMON'S KEY CONSTRUCTION, INC.",Solomon's Key Counseling,James Amoroso,,214 S Laurel St,Port Angeles,WA,98362-2814,
37,"MIKE MCCLUNG CONSTRUCTION CO, INC",,Steve McClung,,15110 261ST AVE E,BUCKLEY,WA,98321-9697,
38,"Polestar Technical Services, Inc.",,Kathleen  M Miller,,1933 JADWIN AVE STE 230,RICHLAND,WA,99354-5212,"Polestar Technical Services, Inc., specializes in project management, strategic planning and technical solutions for high-hazard facilities. Polestar has 25 years of corporate experience in nuclear operations and facility D&D and has developed proven processes to aid the cleanup and shutdown of high-hazard facilities. Our services cover the full scope of facility operations from commissioning to shutdown. Our value add is in focused efforts and proven strategies around a requirements-based assessment methodology, risk-based prioritization, detailed planning, and alignment of the organization and work processes and process improvement. This may include everything from organization structure, work process redesign, HR, procedures, and maintenance activities to conduct of operations, emergency preparedness and nuclear safety strategies."
39,DANA ENGINEERING INC,,William P Dana,President,4000 S IRBY ST,KENNEWICK,WA,99337-2455,"FCC Facilities Construction Certification PE Engineer HVAC Mech Elect Controls Systems ISO9000 NQA1 Engineer Inspection; HVAC Design, Haz Waste & Nucl Startup Operations QA, Project Management DOE & DOD cleared Operational Readiness ORR Chemical Demil"
40,RTC Aerospace LLC ,,Jerry R Hill,,7215 45th St Ct E,Fife,WA,98424-3714,
41,SOUND TESTING INC,,Peggy Vargas,,2992 SW AVALON WAY,SEATTLE,WA,98126-2714,"Marine Chemist services, Shipyard Competent Person Training, OSHA 10-hr Maritime Training, Hazwoper Refresher Training, Other maritime safety training"
42,NORTHSOUND UTILITY AND CONSTRUCTION INC,,Harmony Jelinek,,7920 THOMLE ROAD,STANWOOD,WA,98292-9339,"Woman owned small business serving the State of Washington, performing trenching, underground utilities construction services and auger boring."
43,"Professional Leadership Results, Inc.",Libby Wagner & Associates,Elizabeth Wagner,,5219 erskine Way Sw,SEATTLE,WA,98136-1151,"Libby Wagner & Associates’ expertise in leadership development, strategy, management training, conflict resolution, and executive team development inspires organizations to create Profit Culture environments and sustain changes for the future."
44,BOND DRAFTING SERVICES LLC,,Charles Bond,,3437 DOUGLAS STREET,GRAYLAND,WA,98547-9755,"Specializing in Civil and Survey drafting we bring a professional and efficient skill set to every client. Using the latest Autodesk products, AutoCAD, and Civil3D, BDS will produce survey drawings or small residential site design plan sets for permitting. Our completed plan sets will meet your standards and the requirements within your city, county and/or states current regulations. Each of our staff members have over 20 years of computer drafting experience. We understand what the PE or PLS are trying to convey. BDS is your CAD drafting outsource specialist. We can handle single person companies to large firms experiencing overflow difficulties. We offer quick turnaround times and quality products with professional ethics"
45,"Arcadia Drilling, Inc.",,Jason Zack,President,21 W Westfield Ct,Shelton,WA,98584-4601,"We are a small company that specializes in drilling water wells, pumps and water mains both public and private."
46,"Sellers Masonry, Inc.",,Vicki Sellers,,18602 E TRENT AVE,SPOKANE VALLEY,WA,99027-9670,Thirty years in masonry construction. Second generation owner adds to the professional long term employees managing jobs safely and efficiently
47,"Corn, Kevin Raymond",TCR Custom Construction,Kevin R Corn,,2823 N MADELIA ST,SPOKANE,WA,99207-4835,"CORN, KEVIN RAYMOND is a fabrication and installation company for cabinets and countertops. We provide cabinets and countertops in various materials from stone to plastic laminate for all residential uses."
48,PERFECT IMAGE INC,,ERIC  FLEMING,President,13615 NE 126TH PLACE STE 450,KIRKLAND,WA,98034-8730,One of the largest scanning and data conversion companies in the United States. Perfect Image provides high quality deliverables at a reasonable price while maintaining project confidentiality. Company converts manual drawings into electronic formats.
49,Adaptelligence LLC ,,Larry Holder,,525 NW Aspen Ct,Pullman,WA,99163-5387,Develop software using artificial intelligence and machine learning to improve everyday living.
50,NUZONE MEDICAL,,DAN  D OGILVIE,,1418 E 14TH AVE,SPOKANE,WA,99202-3550,"Adjustable Oral Airway, Xlg. Adult, Adult, Pediatric replace all the OPA's and NPA's Improved ventilation, Suctioning, comfort and Does Not Stimulate a GAG Reflex and can be utilized on a semi-conscious patient."
51,"C & R Tractor & Landscaping, Inc. ",Washington ,Casey Heaton,,3829 Pleasant Hill Road,Kelso,WA,98626-9781,"C&R Tractor and Landscaping offers landscape, irrigation and construction services. C&R also has capability of providing nursery quality plants, blended soils and bio retention soil and bark. CAD Truck services that can sling product up to 120'to where needed. Also has a full print shop that offers screen printing/sublimation/vinyl work"
52,4M Sigma Corporation,,JOHN  PAULI,,1900 W Emerson Pl Ste 208,Seattle,WA,98119-1649,"Electrical/Electronic Manufacturing for the harshest of aircraft operating environments: 'Wheelwell-Survivable & Tarmac Tough.' Flight hardware flying on E-3, F-16, B2, KC-135, V-22, 737NG, MD80, A330, A340, 747-400 and ground-based hardware and support equipment operating in 220 countries worldwide."
53,"Government Computer Sales, Inc.",GCSIT Solutions,John Powers,,1654 20th Ave,Seattle,WA,98122-2806,"GCSIT is an award-winning provider of business-aligned IT solutions to business, government and education platforms. We combine a unique set of engagement models, skills and experience in a proven methodology that delivers business-aligned IT success with predictable outcomes and costs - every time. GCSIT brings localized certified technicians and engineers, technical expertise, business acumen, organization-wide commitment to excellence, referenceable success, and powerful technical-partner relationships to meet your needs. Visit us on the web at https://www.gcsit.com for further information."
54,"ED'S ECONOMY ROOFING, LLC",,KENNETH Sarkinen,,15200 NE CAPLES RD,BRUSH PRAIRIE,WA,98606-9839,
55,"Planled, Inc.",,Robert Shin,,1800 S 341st Pl,Federal Way,WA,98003-6859,
56,Northwest Laundry Company LLC,Brio Laundry,Colleen J Unema,,810 Alabama St,Bellingham,WA,98225-3831,"Northwest Laundry Company specializes in custom laundry for small entities in the marine, construction, spa, clinics, hospitality, recovery, outdoor small industries. We eliminate odors mildew in marine equipment, wash and dry wetsuits, tents and outdoor gear such as Gortex. Waterproofing jackets and coats. Small run special wash needs is our niche."
57,"A & D Quality Construction Co., L.L.C.",,Annette B Demps,,11412 148th Ave SE,Renton,WA,98059-4304,"General contractor specializing in demolition, excavation, clearing, grading, underground utilities, retaining walls, concrete, and tenant improvements."
58,INSPECTION TECHNOLOGIES INC,INSPECTEK,RICHARD GALLAGHER,,5414 S PROCTOR ST,TACOMA,WA,98409-2704,Manufacture Representative for non destructive testing equipment
59,Arcana Procurement Solutions LLC,Arcana Power Systems LLC,Thomas B Zegers,,12008 NE 62nd St,Kirkland,WA,98033-8439,"Arcana Procurement Solutions LLC dba Arcana Power Systems specializes in equipment for the electric utility industry. This includes transmission, overhead and underground distribution, substations, and generation. Core Competencies Cross arms and braces Insulators Power poles and supports Overhead arresters and supports Overhead switches, connectors, transformers, and voltage regulators Bucket trucks and digger derricks Generators Live line tools and equipment Differentiators Arcana Procurement Solutions LLC dba Arcana Power Systems has first-hand knowledge and experience in the electric utility industry. Our founder and CEO, Thomas B. Zegers, is an IBEW Journeyman Lineman with 18 years of experience. Having a Journeyman Lineman who understands exactly what the contracting officer needs is priceless and very unique."
60,"RELIANCE FIRE PROTECTION, INC.",,NANCY  HAMMOND,,8168 304TH AVE SE,PRESTON,WA,98050-0000,Fire suppression design & installation
61,SIMONTIC COMPOSITE INC.,,SIMON SENIBI,,25411 155TH AVE SE,KENT,WA,98042-4122,"Our specialty is in the area of Innovative Composite Design, analysis, testing, manufacturing and sales for Aerospace, Automotive, Land Transportation, Construction/Infrastructures, Marine Applications, Ballistic Protection, and Biomedical Applications. Green composite and clean energy technologies."
62,WIRE NUTZ ELECTRICAL SERVICES LLC,,Matt Lasch,,2500 NW 189th St,Ridgefield,WA,98642-5864,"Wire Nutz Electric is your family owned, full-service, local electrical shop. Proudly serving Vancouver Washington and Clark County for over a decade. Licensed, bonded and insured. Available 24 hours a day. Whether in your home or in your business we are always professional and courteous. You can always count on Wire Nutz Electric for highest quality workmanship and customer service."
63,CAPSTONE STRUCTURES LLC,,Coty O'Neel,,21 D St Ste C1,Quincy,WA,98848-1236,"Construction, Concrete, Infrastructure, Buildings, Excavating, Underground Utilities, Services, FEMA, Disaster Relief, Sewer, etc. We have a fantastic team of professionals and friends. Our customers satisfaction and impression of our work and process is of the utmost importance to every member of our crew. You're gonna dig working with us!"
64,"KYRON ENVIRONMENTAL, INC",,LARRY B HAGEL,,10 N POST ST STE 218,SPOKANE,WA,99201-0705,"Kyron provides Environmental Health & Safety services in Industrial Hygiene, Indoor Air Quality, Mold/Moisture Investigations, Thermal Imaging, Asbestos Professional Services, Asbestos and Hazardous Materials Training, and Construction & Risk Management"
65,"Weatherhead Experience Design Group, Inc.",,Andrea  K Weatherhead,,5221 28TH AVE S,SEATTLE,WA,98108-3011,"Our award-winning team applies a wide range of skills (and intense passion) to every phase of the process — from initial exhibit concept, to sophisticated interactive design, to multimedia development, straight through to opening day — all while enjoying ourselves immensely. Clearly, this is what we were born to do."
66,"DOUGLASS INTERIOR PRODUCTS, INC.",,Maurice Kidney,Vice President: Marketing & Sales,1910 132ND AVENUE NE,BELLEVUE,WA,98005-2198,"DISTRIBUTOR OF UPHOLSTERY LEATHER FOR COMMERCIAL FURNITURE AND TRANSPORTATION USE. ALSO AIRCRAFT CARPET, UPHOLSTERY FABRIC AND SHEEP SKIN. DISTRIBUTOR OF UPHOLSTERY LEATHER FOR AIRCRAFT. AIRCRAFT CARPET, UPHOLSTERY FABRIC & SHEEP SKIN. UPHOLSTERY LEATHER"
67,"Gatchet, Melissa",MG Safety,Melissa H Gatchet,,77 E Pheasant Ln,Sequim,WA,98382-8251,
68,"E&S Engineering, PLLC",,Pamela Pickett,,78410 N OVERLOOK DR,BENTON CITY,WA,99320-8764,"Electrical Engineering, Project Management, Business/Executive Management"
69,"Industrial Light & Energy, Inc.",Northwest Edison,Amy Camilleri,Owner,11807 N Creek Pkwy S Ste B-103,Bothell,WA,98011-8804,"NWE is a energy conservation lighting consultant & electrical contractor, capable of specifying & installing new energy efficient lighting. NWE also works with a lighting mfg. in developing HD replacements using the newer T5 HO and reflector technology."
70,American Pet Insurance Company,Trupanion,Margi Tooth,,6100 4TH AVE S STE 200,SEATTLE,WA,98108-3234,American Pet Insurance Company is an admitted New York domiciled property and casualty insurance company with licenses across the United States. We are a highly specialized insurer and offer only one type of insurance - pet health insurance. Our goal is to provide our unique and highly specialized underwriting capabilities to a diverse group of pet insurance providers utilizing different distribution channels so that we can help increase availability of products to pet owners across America. For more information please call: 206-607-1922 or visit: http://americanpetinsurance.com/Default.htm
71,"Brouwer, Mamie S",SkyView Environmental,Mamie S Brouwer,,2807 Sw Dakota St,Seattle,WA,98126-2529,Specialized expertise in environmental and civil engineering construction project and program management and disaster response and preparedness.
72,"Northern Ales, Inc.",,Stephen L Hedrick,,325 W. 3rd Ave,Kettle Falls,WA,99141-0000,"We can provide meals in or from Restaurant and we manufacture packaged beer, in bottle or draught."
73,"KILGORE ARCHITECTURAL PRODUCTS, INC.",,Michael Kilgore,,11319 E CARLISLE LN STE 101,SPOKANE,WA,99206-7651,
74,Waterside Asset Management LLC,,Gordon A Guthrie,,6314 143rd Pl Se,Snohomish,WA,98296-5252,Providing consulting services for water treatment equipment and products. Training and facilitating the environment for self performing the water treatment program. Providing zero bleed technology for cooling towers
75,"Da Ross, Jami Lynn",Jetta Tool & Fab,Anthony D Ross,,2103 S Coulee Vista Dr,Kennewick,WA,99338-4514,Precision/close tolerance Tool & Die designing & manufacturing with stamping capabilities. Designing & fabrication of special machines for assembly and inspection; manual and pneumatic operation.
76,Western Detention Product Inc,Western Detention Products,Matthew  Knox,,3711 E DEER PARK MILAN RD,DEER PARK,WA,99006-9149,"We are a stocking distributor for Southern Folger Detention Equipment. We stock mechanical locks, electric locks, replacement parts, device motors, lock motors, lock solenoids, door hardware, etc. For more information, please visit our website at http://www.westerendetention.com."
77,"W & N Development, L.L.C.",W&N Concrete Pumping,Eric Vander Linden,,20817 OLD HIGHWAY 99 SW,CENTRALIA,WA,98531-9660,W&N is fully capable to handle a large majority of all concrete projects. We have extensive knowledge and past experience in the concrete industry. We also specialize in Modular construction as well as Seal Coating and Crack Sealing construction.
78,"Designed Groundwater Services, LLC",,GARY FORS,,2432 E 11th St,Tacoma,WA,98421-3302,
79,Goodwinds LLC,,Amelia M Cook,,1829 RAILROAD AVE,MOUNT VERNON,WA,98273-4959,"Goodwinds Composites is a manufacturer of composite rods and tubes, including pultruded carbon rods, pultruded carbon tubes, pultruded fiberglass rods, filament-wound epoxy tubing (fiberglass tubes), and wrapped carbon tubes. We custom-cut composites to tight tolerances and perform a variety of secondary processes, including center-less grinding/sanding, drilling, milling, champfering, and more. Wrapped carbon tubes can be built to purchaser's specifications. No minimum orders."
80,"Allen, Bruce C & Associates Inc",Allen Brackett Shedd,Darin  Shedd,,18728 Bothell Way Ne Ste B,Bothell,WA,98011-1979,Real estate appraisal and consulting services.
81,"ECO Resource Group, LLC",,SANDRA Davis,,13616 SUNRISE DR NE,BAINBRIDGE ISLAND,WA,98110-4158,"ECO integrates environmental, community and organizational strategies for the success of business, community and government organizations worldwide."
82,"Schuyler Rubber Company, Inc.",,GREG ARMFIELD,president,16901 WOODINVILLE REDMOND RD NE,WOODINVILLE,WA,98072-6934,"laminated rubber marine fenders, dock bumpers, wheel chocks, scrapers, blasting mats, recycled rubber products"
83,Sound Waterworks LLC,,Andrew Bauer,,3305 31st Dr,Everett,WA,98201-4952,Licensed plumber with 15 years experience with residential new construction and remodels. Drain cleaning expert as well as repair and trouble shooting with all plumbing issues. Water Heater installation and repairs.
84,All West Fasteners Incorporated,All-west Components And Fasteners,Rick Peterson,President,4510 B Street NW,Auburn,WA,98001-1744,"ISO 9001:2000 QUALITY-ASSURED MIL-SPEC AND INDUSTRIAL FASTENERS (NUTS, BOLTS, SCREWS) AND ELECTRONIC HARDWARE (INCLUDING CONNECTORS AND FUSES). EXPEDITED DELIVERY OF URGENT REQUIREMENTS--OVERNIGHT DELIVERY OFTEN POSSIBLE."
85,"Shanafelt, Brian A",Shanafelt Construction,BRIAN SHANAFELT SHANAFELT,V.P.,104 W Hoffmanville Ave,Roslyn,WA,98941-5803,"all types renovation, remodeling, alteration"
86,"Shults, Michael E",,Mike Shults,,4205 NW 153rd St,Vancouver,WA,98685-1125,SDVOSB operated business focused on providing veterans living with mental illness the opportunity to regain control of their lives and continue on in the direction that they choose. In addition we provide a complete employment service to assist participants in obtaining and maintaining employment that they feel is both financially satisfying and personally rewarding.
87,"AHBL, INC. ",,Tim Hansen,,2215 N 30th St Ste 300,Tacoma,WA,98403-3350,"Civil & Structural Engineering, Landscape Architecture, & Land Surveying specializing in DoD & Federal projects. AT/FP & sustainable/LEED design. Experienced with IDIQs, Design/Build, D/B RFP, MATOCs, abbreviated design, new construction, & renovation."
88,"All American Marine, Inc.",,Matthew J. Mullett,Administrative Manager,1010 Hilton Ave,Bellingham,WA,98225-2909,"All American Marine, Inc., located in Bellingham, Washington, is a leading manufacturer of passenger and sport fishing catamarans,Research Vessels, fire response, pilot, commercial fishing boats, 6-pack charter boats and work boats."
89,J R PLASTER & PAINT CO INC,,Joy RAGLAND,President,7100 S SUNNYCREST RD,SEATTLE,WA,98178-2652,"General Contractor Building and Remodeling, Painting contractor"
90,Columbia Basin Consulting Group LLC,,William J Stokes,,8836 W GAGE BLVD STE 101A,KENNEWICK,WA,99336-7154,"Clean energy systems engineering, advanced nuclear power plants, and grid storage battery systems"
91,"FIN CONSULTING, LLC",,Thomas Crawford,,1308 Brookwood Ave,Richland,WA,99352-8447,"FIN Consulting, LLC provides world class engineering consulting services to the nuclear industry. Services include strategic planning, mission analysis and system planning for complex, integrated government-owned radioactive liquid waste storage and treatment facilities and environmental remediation. Underlying capabilities include process engineering, process design, process development, flowsheet development, operations support, program management and technology development in industries including nuclear waste management, nuclear fuels reprocessing and special nuclear material operations."
92,Global Construction Group Inc,E Q Exhaust,ANGELA SOWELL,,3111 Columbia Heights Rd,Longview,WA,98632-5626,"8(a),SDB,HubZone,MBE,Native American general contracting firm. Strengths include, new construction, renovations, concrete, steel, metal buildings, roofing, flooring, campground improvements."
